es_id	usergroupid	alipayid	data_date
CONSUME_U_02_002_002_2088302476489900	CONSUME_U_02_002_002	2088302476489900	2020-11-05
CONSUME_U_02_003_002_2088022779838008	CONSUME_U_02_003_002	2088022779838008	2020-11-05
CONSUME_U_02_004_001_2088022779838008	CONSUME_U_02_004_001	2088022779838008	2020-11-05
CONSUME_U_03_001_002_2088302207657855	CONSUME_U_03_001_002	2088302207657855	2020-11-05
CONSUME_U_03_002_002_123	CONSUME_U_03_002_002	123	2020-11-05
CONSUME_U_03_002_002_2088102169667471	CONSUME_U_03_002_002	2088102169667471	2020-11-05
CONSUME_U_03_002_002_2088602259892252	CONSUME_U_03_002_002	2088602259892252	2020-11-05
CONSUME_U_03_003_003_2088702292854236	CONSUME_U_03_003_003	2088702292854236	2020-11-05
CONSUME_U_03_003_003_ooLHq04fONOb464yZE5I5YLfISkU	CONSUME_U_03_003_003	ooLHq04fONOb464yZE5I5YLfISkU	2020-11-05
CONSUME_U_03_004_005_2088702292854236	CONSUME_U_03_004_005	2088702292854236	2020-11-05
CONSUME_U_04_001_002_2088302554713525	CONSUME_U_04_001_002	2088302554713525	2020-11-05
CONSUME_U_04_001_003_123	CONSUME_U_04_001_003	123	2020-11-05
CONSUME_U_04_001_003_2088102078688534	CONSUME_U_04_001_003	2088102078688534	2020-11-05
CONSUME_U_04_001_003_2088102169667471	CONSUME_U_04_001_003	2088102169667471	2020-11-05
CONSUME_U_04_001_003_2088702522198954	CONSUME_U_04_001_003	2088702522198954	2020-11-05
CONSUME_U_04_002_002_2088102078688534	CONSUME_U_04_002_002	2088102078688534	2020-11-05
CONSUME_U_04_002_002_2088102169193934	CONSUME_U_04_002_002	2088102169193934	2020-11-05
CONSUME_U_04_002_002_2088202881027350	CONSUME_U_04_002_002	2088202881027350	2020-11-05
CONSUME_U_04_002_002_2088302207657855	CONSUME_U_04_002_002	2088302207657855	2020-11-05
CONSUME_U_04_002_002_2088302413157710	CONSUME_U_04_002_002	2088302413157710	2020-11-05
CONSUME_U_04_002_002_2088702522198954	CONSUME_U_04_002_002	2088702522198954	2020-11-05
CONSUME_U_04_002_003_2088302500944906	CONSUME_U_04_002_003	2088302500944906	2020-11-05
CONSUME_U_04_002_004_123	CONSUME_U_04_002_004	123	2020-11-05
CONSUME_U_04_002_004_2088902960871042	CONSUME_U_04_002_004	2088902960871042	2020-11-05
CONSUME_U_04_002_006_2088302476489900	CONSUME_U_04_002_006	2088302476489900	2020-11-05
CONSUME_U_04_003_003_2088022779838008	CONSUME_U_04_003_003	2088022779838008	2020-11-05
CONSUME_U_04_003_003_ooLHq00xVKUkclqSMypDe0AHkKLc	CONSUME_U_04_003_003	ooLHq00xVKUkclqSMypDe0AHkKLc	2020-11-05
CONSUME_U_04_004_001_2088012238029524	CONSUME_U_04_004_001	2088012238029524	2020-11-05
CONSUME_U_04_004_001_2088502029624664	CONSUME_U_04_004_001	2088502029624664	2020-11-05
CONSUME_U_05_001_001_0000000000000000	CONSUME_U_05_001_001	0000000000000000	2020-11-05
CONSUME_U_05_001_001_2088102159039042	CONSUME_U_05_001_001	2088102159039042	2020-11-05
CONSUME_U_05_001_002_2088302413157710	CONSUME_U_05_001_002	2088302413157710	2020-11-05
CONSUME_U_05_001_003_2088102162733131	CONSUME_U_05_001_003	2088102162733131	2020-11-05
CONSUME_U_05_001_003_2088102169193934	CONSUME_U_05_001_003	2088102169193934	2020-11-05
CONSUME_U_05_001_003_2088302344017767	CONSUME_U_05_001_003	2088302344017767	2020-11-05
CONSUME_U_05_001_003_2088302476489900	CONSUME_U_05_001_003	2088302476489900	2020-11-05
CONSUME_U_05_001_003_2088302500944906	CONSUME_U_05_001_003	2088302500944906	2020-11-05
CONSUME_U_05_002_002_2088202888393146	CONSUME_U_05_002_002	2088202888393146	2020-11-05
CONSUME_U_05_002_004_2088302344017767	CONSUME_U_05_002_004	2088302344017767	2020-11-05
CONSUME_U_05_003_001_2088502959059095	CONSUME_U_05_003_001	2088502959059095	2020-11-05
CONSUME_U_05_003_002_2088302063603810	CONSUME_U_05_003_002	2088302063603810	2020-11-05
CONSUME_U_05_003_002_2088902445722487	CONSUME_U_05_003_002	2088902445722487	2020-11-05
CONSUME_U_05_003_003_ooLHq07ri7lejrf8-StOLkThoV1s	CONSUME_U_05_003_003	ooLHq07ri7lejrf8-StOLkThoV1s	2020-11-05
CONSUME_U_05_004_001_2088022779838008	CONSUME_U_05_004_001	2088022779838008	2020-11-05
CONSUME_U_05_004_001_2088102078688534	CONSUME_U_05_004_001	2088102078688534	2020-11-05
CONSUME_U_05_004_001_2088702424434798	CONSUME_U_05_004_001	2088702424434798	2020-11-05
CONSUME_U_05_004_001_2088902445722487	CONSUME_U_05_004_001	2088902445722487	2020-11-05
CONSUME_U_05_004_005_2088302845425669	CONSUME_U_05_004_005	2088302845425669	2020-11-05
CONSUME_U_05_004_005_2088502029624664	CONSUME_U_05_004_005	2088502029624664	2020-11-05
CONSUME_U_05_004_005_2088612425869399	CONSUME_U_05_004_005	2088612425869399	2020-11-05
CONSUME_U_05_004_005_ooLHq04fONOb464yZE5I5YLfISkU	CONSUME_U_05_004_005	ooLHq04fONOb464yZE5I5YLfISkU	2020-11-05
CONSUME_U_06_001_001_2088202881027350	CONSUME_U_06_001_001	2088202881027350	2020-11-05
CONSUME_U_06_001_002_0000000000000001	CONSUME_U_06_001_002	0000000000000001	2020-11-05
CONSUME_U_06_001_002_2088202888393146	CONSUME_U_06_001_002	2088202888393146	2020-11-05
CONSUME_U_06_001_003_123	CONSUME_U_06_001_003	123	2020-11-05
CONSUME_U_06_001_003_2088102169667471	CONSUME_U_06_001_003	2088102169667471	2020-11-05
CONSUME_U_06_001_003_2088302964261058	CONSUME_U_06_001_003	2088302964261058	2020-11-05
CONSUME_U_06_001_003_2088512865335468	CONSUME_U_06_001_003	2088512865335468	2020-11-05
CONSUME_U_06_001_003_2088602259892252	CONSUME_U_06_001_003	2088602259892252	2020-11-05
CONSUME_U_06_001_003_2088902960871042	CONSUME_U_06_001_003	2088902960871042	2020-11-05
CONSUME_U_06_002_002_0000000000000000	CONSUME_U_06_002_002	0000000000000000	2020-11-05
CONSUME_U_06_002_002_2088102078688534	CONSUME_U_06_002_002	2088102078688534	2020-11-05
CONSUME_U_06_002_002_2088102159039042	CONSUME_U_06_002_002	2088102159039042	2020-11-05
CONSUME_U_06_002_002_2088202881027350	CONSUME_U_06_002_002	2088202881027350	2020-11-05
CONSUME_U_06_002_002_2088302413157710	CONSUME_U_06_002_002	2088302413157710	2020-11-05
CONSUME_U_06_002_002_2088302964261058	CONSUME_U_06_002_002	2088302964261058	2020-11-05
CONSUME_U_06_002_002_2088512865335468	CONSUME_U_06_002_002	2088512865335468	2020-11-05
CONSUME_U_06_002_002_2088602259892252	CONSUME_U_06_002_002	2088602259892252	2020-11-05
